Suma de number of natural cover objects;Etiquetas de columna;;;;;
Etiquetas de fila;1;2;3;4;5;Total general
din1;33;41;25;31;22;152
din2;0;23;38;13;10;84
din3;24;16;12;5;6;63
din4;6;0;0;0;4;10
pexo1;0;23;26;22;0;71
pexo2;11;24;12;25;12;84
sf1;2;3;4;5;8;22
sf2;4;2;3;2;4;15
sf3;4;5;3;3;3;18
sf4;4;4;4;4;6;22
sf5;9;10;11;6;13;49
teu1;9;2;12;5;7;35
teu2;11;2;3;4;7;27
teu3;3;9;11;6;9;38
teu4;2;0;3;2;2;9
teu5;3;1;0;3;2;9
teu6;6;6;5;6;8;31
teu7;12;8;4;13;9;46
teu8;6;3;3;6;6;24
xit1;9;0;12;12;13;46
xit2;6;6;3;12;3;30
xit3;12;8;4;2;4;30
xit4;2;0;0;0;2;4
xit5;2;0;1;1;3;7
xit6;6;10;16;;22;54
xit7;7;24;;;12;43
xochi1;0;4;4;;;8
xochi2;0;0;2;;;2
xochi3;2;2;3;;;7
xochi4;0;;2;;;2
Total general;195;236;226;188;197;1042
