Suma de temperature microhabitat max;Etiquetas de columna;;;;;
Etiquetas de fila;1;2;3;4;5;Total general
din1;18;25.8;23.2;25.5;28.2;120.7
din2;27;26.9;32;23;28;136.9
din3;17;19;25;30.3;35.8;127.1
din4;17;18;14;27.2;23.6;99.8
pexo1;49;23;28.2;30.2;39;169.4
pexo2;33;19;25.1;26.8;38.1;142
sf1;52;26;19.9;43;30.4;171.3
sf2;22;0;12.8;12.8;22.3;69.9
sf3;60;0;12.9;26.6;21.2;120.7
sf4;24;0;17;23.2;23.7;87.9
sf5;50;0;24.5;39.5;23.1;137.1
teu1;23;17;50.6;31;49.3;170.9
teu2;57;19.2;49.3;29.2;33.2;187.9
teu3;41;30.8;22;29.5;48;171.3
teu4;36;25;25;46.6;23.6;156.2
teu5;30;28;32;37;33.1;160.1
teu6;29.4;25;21.4;26.8;36;138.6
teu7;36;32.5;33;47.5;43;192
teu8;36;32;21.2;25.5;60.4;175.1
xit1;46;15;20.8;15.4;36.3;133.5
xit2;55;20.5;24;15.6;28;143.1
xit3;55;15;21;16;40;147
xit4;40;13.7;15;16;28.1;112.8
xit5;40;25;28;15;50.1;158.1
xit6;55;19;24;;40;138
xit7;22.7;27;;;39.5;89.2
xochi1;25;27;25.1;;;77.1
xochi2;26.1;34;26;;;86.1
xochi3;32;32;27;;;91
xochi4;18.2;;21;;;39.2
Total general;1072.4;595.4;721;659.2;902;3950
