id;vegtype;agro;vegh;bio_01;bio_02;bio_03;bio_04;bio_05;bio_06;bio_07;bio_08;bio_09;bio_10;bio_11;bio_12;bio_13;bio_14;bio_15;bio_16;bio_17;bio_18;bio_19;evapotranspiration;productivity;convergence;cti;slope;tri;hfp;veghmax;slopemax
din1;grass;1;13;13.00833321;13.28333282;71.03386688;164.134552;21.70000076;3;18.70000076;14.36666679;10.71666622;14.66666698;10.71666622;1098;222;10;94.83815765;640;41;316;41;113.12;1580.2;23.68860435;4.322136402;9.649405479;28.54396248;12393;2;5
din2;grass;0;25;13.00833321;13.28333282;71.03386688;164.134552;21.70000076;3;18.70000076;14.36666679;10.71666622;14.66666698;10.71666622;1098;222;10;94.83815765;640;41;316;41;113.12;1580.2;38.24720001;3.636748552;18.8876133;31.13450813;12471;2.4;10
din3;forest;0;26;12.05416679;12.64166641;72.23809052;153.2445831;20.20000076;2.700000048;17.5;13.35000038;9.899999619;13.5666666;9.899999619;1141;232;10;94.50019836;656;39;320;39;113.93;1500;-4.772720814;-1.289628148;24.50527763;36.07008362;11314;35;50
din4;forest;0;21;13.00833321;13.28333282;71.03386688;164.134552;21.70000076;3;18.70000076;14.36666679;10.71666622;14.66666698;10.71666622;1098;222;10;94.83815765;640;41;316;41;113.12;1580.2;12.2610569;4.057151794;11.03976822;19.02266502;11757;30;60
pexo1;mixed;0;4;16.24583435;15.6916666;69.12628937;174.6094055;27;4.300000191;22.70000076;17.35000038;13.96666718;18.21666718;13.86666679;668;144;6;96.81885529;391;22;197;22;115.87;1185.6;-10.55977345;0.280948758;0.359811753;0.572709978;16955;12;2
pexo2;forest;0;7;16.24583435;15.6916666;69.12628937;174.6094055;27;4.300000191;22.70000076;17.35000038;13.96666718;18.21666718;13.86666679;668;144;6;96.81885529;391;22;197;22;115.87;1185.6;4.961501598;1.824099183;0.36159116;0.80379796;17735;25;0
sf1;crops;1;0;13.75;15.0666666;68.79756165;167.4677582;24.70000076;2.799999952;21.90000153;14.78333282;11.5666666;15.71666718;11.53333378;1072;220;7;97.38189697;632;32;318;36;111.24;1596.9;-6.331724644;1.701066375;7.627301693;10.5101347;19297;2.5;18
sf2;forest;0;25;13.40416718;14.9416666;69.49612427;161.0259705;24.10000038;2.599999905;21.5;14.46666718;11.28333282;15.26666641;11.26666641;1152;243;7;99.22647095;681;30;332;36;108;1589.1;5.34987545;1.610743523;6.69024229;9.777669907;18595;24;40
sf3;crops;1;16;13.40416718;14.9416666;69.49612427;161.0259705;24.10000038;2.599999905;21.5;14.46666718;11.28333282;15.26666641;11.26666641;1152;243;7;99.22647095;681;30;332;36;108;1589.1;1.839899898;-1.656452537;11.77373028;16.64574432;12930;1;20
sf4;forest;0;18;13.40416718;14.9416666;69.49612427;161.0259705;24.10000038;2.599999905;21.5;14.46666718;11.28333282;15.26666641;11.26666641;1152;243;7;99.22647095;681;30;332;36;108;1589.1;-5.375859737;-1.554924846;9.640033722;12.78533173;13051;12;23
sf5;grass;0;8;13.52499962;15.13333321;69.41896057;159.9644775;24.39999962;2.599999905;21.79999924;14.53333282;11.4333334;15.39999962;11.39999962;1144;241;7;98.90538788;677;31;331;37;109.97;1598;5.088412285;0.398530245;12.74613285;17.90538406;18732;3.5;10
teu1;crops;1;0;15.64166641;15.98333359;68.01418304;174.4580383;27.5;4;23.5;16.5;13.46666718;17.86666679;13.46666718;732;148;7;92.75627899;421;28;220;28;113.42;1361;-8.572472572;-0.551793098;8.406059265;11.44489193;18428;3;5
teu2;crops;1;0;15.42500019;15.8166666;68.47042084;169.97995;27.10000038;4;23.10000038;16.26666641;13.28333282;17.58333397;13.28333282;803;163;7;94.23827362;469;29;245;29;117.2;1398.9;0.088284947;-0.610093474;6.341609478;8.603954315;14798;3;5
teu3;crops;1;0;15.42916679;15.84166718;68.28304291;171.4305878;27.10000038;3.900000095;23.20000076;16.28333282;13.26666641;17.60000038;13.26666641;788;160;8;93.45271301;457;30;238;30;113.4;1367.4;-3.959191799;-0.670598924;6.592946053;9.11760807;20991;4;10
teu4;mixed;0;8;15.22083378;15.64166641;68.90602112;166.8213348;26.70000076;4;22.70000076;16.06666756;13.11666679;17.33333397;13.11666679;860;174;7;94.98464203;505;30;265;30;117.5;1407.6;-27.62003708;-2.995422602;14.22325134;22.11296654;19902;4;50
teu5;scrub;0;5;15.22083378;15.64166641;68.90602112;166.8213348;26.70000076;4;22.70000076;16.06666756;13.11666679;17.33333397;13.11666679;860;174;7;94.98464203;505;30;265;30;117.5;1407.6;-30.39751244;-3.030400276;11.65806675;21.34822083;19851;2.5;5
teu6;scrub;0;0;15.16250038;15.60833359;68.45760345;169.2782288;26.70000076;3.900000095;22.80000114;16.03333282;13.01666641;17.28333282;13.01666641;862;175;6;95.07511902;506;30;265;30;118.93;1434.7;-53.10093307;-3.34640336;14.41923428;21.85643959;19900;2;2
teu7;scrub;0;0;15.22083378;15.64166641;68.90602112;166.8213348;26.70000076;4;22.70000076;16.06666756;13.11666679;17.33333397;13.11666679;860;174;7;94.98464203;505;30;265;30;117.5;1407.6;-36.1281662;-2.048280716;4.040347099;6.105606556;19910;8;5
teu8;crops;1;0;15.13749981;15.60833359;68.75917816;168.901886;26.60000038;3.900000095;22.70000076;16;12.98333359;17.25;12.98333359;857;174;7;95.0030899;503;30;262;30;118.59;1406.1;0.12311317;-1.716332197;5.123659611;6.715424061;20315;2.5;10
xit1;mixed;0;5;13.65833378;14.55000019;70.63106537;160.4940338;23.60000038;3;20.60000038;14.8166666;11.46666622;15.41666698;11.46666622;1114;230;9;96.91584778;656;37;320;37;110.13;1580.2;-7.500632286;-2.351109982;9.98797226;14.04557323;14390;8;45
xit2;grass;0;4;13.65833378;14.55000019;70.63106537;160.4940338;23.60000038;3;20.60000038;14.8166666;11.46666622;15.41666698;11.46666622;1114;230;9;96.91584778;656;37;320;37;110.13;1580.2;-5.767396927;-1.030346632;7.093258858;9.443669319;12973;3;5
xit3;mixed;0;11;13.78750038;14.54166698;70.59061432;162.6642609;23.70000076;3.099999905;20.60000038;14.95000076;11.55000019;15.5666666;11.55000019;1056;218;9;97.13150787;627;35;311;35;109.57;1578.1;5.391420364;1.096913099;4.677378654;6.512814045;17841;12;45
xit4;forest;0;22;13.08749962;14.42500019;71.05911255;154.7009583;22.89999962;2.599999905;20.29999924;14.19999981;10.96666622;14.76666641;10.96666622;1161;244;9;97.59761047;681;35;328;35;112.96;1526.7;-13.45150375;-3.167002678;17.43036842;24.15278244;15384;48;50
xit5;forest;0;22;13.08749962;14.42500019;71.05911255;154.7009583;22.89999962;2.599999905;20.29999924;14.19999981;10.96666622;14.76666641;10.96666622;1161;244;9;97.59761047;681;35;328;35;112.96;1526.7;-12.4911747;-0.936512887;7.642912865;17.22285652;13781;27;20
xit6;grass;0;7;13.08749962;14.42500019;71.05911255;154.7009583;22.89999962;2.599999905;20.29999924;14.19999981;10.96666622;14.76666641;10.96666622;1161;244;9;97.59761047;681;35;328;35;112.96;1526.7;-37.25535965;-2.843681097;9.583580017;17.44602966;15072;2;30
xit7;grass;0;10;13.61250019;14.75833321;70.27777863;158.7039032;23.79999924;2.799999952;21;14.73333263;11.46666622;15.38333321;11.46666622;1134;236;9;97.32076263;668;36;325;36;112.59;1562.4;-0.420632601;-1.258520126;5.067782402;7.004477024;13476;4;15
xochi1;mixed;1;0;15.95833302;15.66666698;67.82106781;179.770462;27.10000038;4;23.10000038;17.03333282;13.61666679;18.08333397;13.60000038;672;143;7;95.11708069;387;25;196;25;116.13;1191.1;20.21664047;2.834026098;0.279731929;0.520668626;14840;6;2
xochi2;grass;1;0;16.02083397;15.6916666;68.22463226;179.7910156;27;4;23;17.11666679;13.66666603;18.10000038;13.63333321;668;142;6;95.06607819;385;24;196;24;116.13;1191.1;4.317001343;1.757483363;0.177780539;0.258709878;14390;4;5
xochi3;grass;1;4;15.95833302;15.66666698;67.82106781;179.770462;27.10000038;4;23.10000038;17.03333282;13.61666679;18.08333397;13.60000038;672;143;7;95.11708069;387;25;196;25;116.36;1201.8;-23.71808624;-0.289358616;0.104554467;0.255347699;14431;5;3
xochi4;scrub;0;3;15.97500038;15.61666679;67.89855194;180.2208099;27.10000038;4.099999905;23;17.04999924;13.60000038;18.10000038;13.60000038;687;146;7;95.01356506;395;25;201;25;115.98;1210.1;-26.33221054;0.23989144;0.332664609;0.461707056;18485;3.5;0
